commit_id,message,author,date
1,fix: 修复登录超时bug,Kenneth Reitz,2019-01-31
2,feat: 添加POST请求功能,dependabot[bot],2019-02-28
3,docs: 更新使用文档,Nate Prewitt,2019-03-31
4,merge: 合并社区PR #123,Paul Margalit,2019-04-30
5,dependency: 更新requests版本到2.31.0,Seth Michael Larson,2019-05-31
6,release: 发布v2.30.0版本,Kenneth Reitz,2019-06-30
7,refactor: 重构请求处理逻辑,dependabot[bot],2019-07-31
8,test: 添加单元测试用例,Nate Prewitt,2019-08-31
9,maintain: 清理冗余代码,Paul Margalit,2019-09-30
10,fix: 修复HTTPS证书验证问题,Seth Michael Larson,2019-10-31
11,fix: 修复登录超时bug,Kenneth Reitz,2019-11-30
12,feat: 添加POST请求功能,dependabot[bot],2019-12-31
13,docs: 更新使用文档,Nate Prewitt,2020-01-31
14,merge: 合并社区PR #123,Paul Margalit,2020-02-29
15,dependency: 更新requests版本到2.31.0,Seth Michael Larson,2020-03-31
16,release: 发布v2.30.0版本,Kenneth Reitz,2020-04-30
17,refactor: 重构请求处理逻辑,dependabot[bot],2020-05-31
18,test: 添加单元测试用例,Nate Prewitt,2020-06-30
19,maintain: 清理冗余代码,Paul Margalit,2020-07-31
20,fix: 修复HTTPS证书验证问题,Seth Michael Larson,2020-08-31
21,fix: 修复登录超时bug,Kenneth Reitz,2020-09-30
22,feat: 添加POST请求功能,dependabot[bot],2020-10-31
23,docs: 更新使用文档,Nate Prewitt,2020-11-30
24,merge: 合并社区PR #123,Paul Margalit,2020-12-31
25,dependency: 更新requests版本到2.31.0,Seth Michael Larson,2021-01-31
26,release: 发布v2.30.0版本,Kenneth Reitz,2021-02-28
27,refactor: 重构请求处理逻辑,dependabot[bot],2021-03-31
28,test: 添加单元测试用例,Nate Prewitt,2021-04-30
29,maintain: 清理冗余代码,Paul Margalit,2021-05-31
30,fix: 修复HTTPS证书验证问题,Seth Michael Larson,2021-06-30
31,fix: 修复登录超时bug,Kenneth Reitz,2021-07-31
32,feat: 添加POST请求功能,dependabot[bot],2021-08-31
33,docs: 更新使用文档,Nate Prewitt,2021-09-30
34,merge: 合并社区PR #123,Paul Margalit,2021-10-31
35,dependency: 更新requests版本到2.31.0,Seth Michael Larson,2021-11-30
36,release: 发布v2.30.0版本,Kenneth Reitz,2021-12-31
37,refactor: 重构请求处理逻辑,dependabot[bot],2022-01-31
38,test: 添加单元测试用例,Nate Prewitt,2022-02-28
39,maintain: 清理冗余代码,Paul Margalit,2022-03-31
40,fix: 修复HTTPS证书验证问题,Seth Michael Larson,2022-04-30
41,fix: 修复登录超时bug,Kenneth Reitz,2022-05-31
42,feat: 添加POST请求功能,dependabot[bot],2022-06-30
43,docs: 更新使用文档,Nate Prewitt,2022-07-31
44,merge: 合并社区PR #123,Paul Margalit,2022-08-31
45,dependency: 更新requests版本到2.31.0,Seth Michael Larson,2022-09-30
46,release: 发布v2.30.0版本,Kenneth Reitz,2022-10-31
47,refactor: 重构请求处理逻辑,dependabot[bot],2022-11-30
48,test: 添加单元测试用例,Nate Prewitt,2022-12-31
49,maintain: 清理冗余代码,Paul Margalit,2023-01-31
50,fix: 修复HTTPS证书验证问题,Seth Michael Larson,2023-02-28
